Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	arrenn429	0:00:01	21:54.4	0:00:01	chat	2013-03-13 13:21:54.393 - jake19 -> STOP	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	jake19	0:00:29	22:24.8	0:00:29	chat	2013-03-13 13:22:24.841 - arrenn429 -> i will be person 1 because im in control now	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	arrenn429	0:0:-12	22:12.2		system	2013-03-13 13:22:12.208 - Dfonseca69 -> Now viewing tab Summary	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:00	22:12.7		system	2013-03-13 13:22:12.659 - Dfonseca69 -> Now viewing tab Topic 5	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	nicolas1699	Dfonseca69	0:00:01	22:14.3		system	2013-03-13 13:22:14.289 - nicolas1699 -> joins the room	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	nicolas1699	0:00:03	22:20.6	0:00:03	awareness	2013-03-13 13:22:20.561 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	jake19	0:00:00	22:30.8	0:00:00	chat	2013-03-13 13:22:30.791 - Dfonseca69 -> ok	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	Dfonseca69	0:00:07	22:43.0	0:00:07	chat	2013-03-13 13:22:42.961 - arrenn429 -> whos second	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	arrenn429	0:00:01	23:00.1	0:00:01	chat	2013-03-13 13:23:00.092 - jake19 -> DAVID	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:02	23:04.7	0:00:02	chat	2013-03-13 13:23:04.699 - jake19 -> then nick 	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	jake19	0:00:12	23:17.7	0:00:12	awareness	2013-03-13 13:23:17.707 - arrenn429 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	arrenn429	0:00:01	23:07.4	0:00:01	chat	2013-03-13 13:23:07.448 - jake19 -> then hung	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:01	23:09.4	0:00:01	chat	2013-03-13 13:23:09.412 - jake19 -> then me	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	jake19	0:00:00	23:13.2	0:00:00	chat	2013-03-13 13:23:13.192 - penguinoidhung -> ok	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	penguinoidhung	0:00:00	23:15.3	0:00:00	chat	2013-03-13 13:23:15.270 - Dfonseca69 -> ok]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	Dfonseca69	0:00:01	23:19.8	0:00:01	awareness	2013-03-13 13:23:19.752 - arrenn429 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	arrenn429	0:00:05	23:26.8	0:00:05	chat	2013-03-13 13:23:26.821 - jake19 -> okay first arren	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	jake19	0:00:42	26:01.8	0:00:42	chat	2013-03-13 13:26:01.822 - arrenn429 -> okay starting now we have 12 mins	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	arrenn429	0:00:14	26:19.8	0:00:14	awareness	2013-03-13 13:26:19.778 - arrenn429 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	arrenn429	0:00:07	26:39.8	0:00:07	chat	2013-03-13 13:26:39.789 - arrenn429 -> who is the controller?	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	arrenn429	0:00:05	26:39.9	0:00:05	chat	2013-03-13 13:26:39.949 - penguinoidhung -> Jake and Nick are sharing	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	penguinoidhung	0:00:01	26:46.5	0:00:01	chat	2013-03-13 13:26:46.497 - Dfonseca69 -> yea	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	Dfonseca69	0:00:08	26:54.2	0:00:08	chat	2013-03-13 13:26:54.224 - jake19 -> okay so me and nick are shariing	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	jake19	0:00:03	26:50.6	0:00:03	chat	2013-03-13 13:26:50.571 - arrenn429 -> on what role?	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	nicolas1699	arrenn429	0:00:12	27:03.4	0:00:12	chat	2013-03-13 13:27:03.448 - nicolas1699 -> David is the controller	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	nicolas1699	0:00:09	27:04.1	0:00:09	chat	2013-03-13 13:27:04.064 - jake19 -> we are asking the questions	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	jake19	0:00:00	26:55.3	0:00:00	chat	2013-03-13 13:26:55.277 - Dfonseca69 -> 3	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:02	27:06.5	0:00:02	awareness	2013-03-13 13:27:06.458 - Dfonseca69 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	Dfonseca69	0:00:17	27:24.8	0:00:17	awareness	2013-03-13 13:27:24.752 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	jake19	0:00:08	27:27.5	0:00:08	chat	2013-03-13 13:27:27.479 - arrenn429 -> come on guys we have to start soon	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	arrenn429	0:00:16	28:00.8	0:00:16	chat	2013-03-13 13:28:00.844 - arrenn429 -> david take control and do the first step	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	arrenn429	0:00:00	27:45.8	0:00:00	awareness	2013-03-13 13:27:45.848 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:00	27:49.0	0:00:00	awareness	2013-03-13 13:27:48.963 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:01	27:52.0	0:00:01	awareness	2013-03-13 13:27:51.977 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:00	27:54.3	0:00:00	awareness	2013-03-13 13:27:54.298 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:05	27:59.7	0:00:05	awareness	2013-03-13 13:27:59.692 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	jake19	0:00:01	28:01.7	0:00:01	chat	2013-03-13 13:28:01.681 - penguinoidhung -> Time?	
