Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	JSCcrews620	Ayanna529	0:00:26	18:02.2		system	2013-03-13 13:18:02.177 - JSCcrews620 -> joins the room
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	Nyamekye Ghanian Queen	JSCcrews620	0:00:15	18:18.1		system	2013-03-13 13:18:18.140 - Nyamekye Ghanian Queen -> joins the room
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	gabyyy_xoxo	Nyamekye Ghanian Queen	0:01:06	19:25.1		system	2013-03-13 13:19:25.111 - gabyyy_xoxo -> joins the room
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	JSCcrews620	gabyyy_xoxo	0:00:10	22:05.7	0:00:10	chat	2013-03-13 13:22:05.732 - JSCcrews620 -> we could do alphabetical order
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	Ayanna529	JSCcrews620	0:00:05	22:18.4	0:00:05	chat	2013-03-13 13:22:18.425 - Ayanna529 -> Good Thinking girl. :)
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	gabyyy_xoxo	Ayanna529	0:00:08	22:36.7	0:00:08	awareness	2013-03-13 13:22:36.712 - gabyyy_xoxo -> [fully erased the chat message]
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	Ayanna529	gabyyy_xoxo	0:00:15	23:39.9	0:00:15	chat	2013-03-13 13:23:39.864 - Ayanna529 -> I'm first, Than Jaki, Than Gabu Than Nyamekye.
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	Ayanna529	Ayanna529	0:00:02	23:44.3	0:00:02	chat	2013-03-13 13:23:44.302 - Ayanna529 -> Gaby*
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	Ayanna529	Ayanna529	0:00:10	24:17.8	0:00:10	chat	2013-03-13 13:24:17.812 - Ayanna529 -> Alphebetical order with last names.
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	JSCcrews620	Ayanna529	0:00:09	24:22.9	0:00:09	awareness	2013-03-13 13:24:22.885 - JSCcrews620 -> [fully erased the chat message]
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	JSCcrews620	JSCcrews620	0:00:00	24:24.1	0:00:00	chat	2013-03-13 13:24:24.076 - JSCcrews620 -> kk
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	Nyamekye Ghanian Queen	JSCcrews620	0:00:00	24:26.6	0:00:00	chat	2013-03-13 13:24:26.633 - Nyamekye Ghanian Queen -> okay
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	gabyyy_xoxo	Nyamekye Ghanian Queen	0:00:01	24:31.3	0:00:01	chat	2013-03-13 13:24:31.253 - gabyyy_xoxo -> kaay
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	Ayanna529	gabyyy_xoxo	0:00:17	26:20.7	0:00:17	chat	2013-03-13 13:26:20.667 - Ayanna529 ->  I'm the timer.
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_1	CID:1362920846354	JSCcrews620	Ayanna529	0:00:04	26:11.6	0:00:04	chat	2013-03-13 13:26:11.585 - JSCcrews620 -> i'm controller
