Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	MeGusta;)	MeGusta;)	0:00:27	12:31.3		system	2013-03-01 15:12:31.297 - MeGusta;) -> leaves the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	MeGusta;)	72:06:00	18:31.6		system	2013-03-04 15:18:31.638 - swampert -> joins the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	swampert	0:00:11	18:43.1		system	2013-03-04 15:18:43.076 - mudkip -> joins the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	mudkip	0:00:02	18:58.4	0:00:02	chat	2013-03-04 15:18:58.427 - swampert -> you start?
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	swampert	0:00:01	19:07.9	0:00:01	awareness	2013-03-04 15:19:07.915 - mudkip -> [fully erased the chat message]
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	mudkip	0:00:00	19:10.8	0:00:00	chat	2013-03-04 15:19:10.766 - mudkip -> okay 
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	mudkip	0:00:07	19:18.6	0:00:07	chat	2013-03-04 15:19:18.615 - mudkip -> i will now be dragging vertex A
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	mudkip	0:00:04	19:23.5		Geogebra:Triangles	2013-03-04 15:19:23.521 - mudkip -> tool changed to Move
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	mudkip	0:00:01	19:24.6		Geogebra:Triangles	2013-03-04 15:19:24.634 - mudkip -> updated Point A
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	mudkip	0:00:14	19:39.3		Geogebra:Triangles	2013-03-04 15:19:39.310 - mudkip -> updated Point A
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	mudkip	0:00:31	20:17.0	0:00:31	chat	2013-03-04 15:20:16.986 - mudkip -> As i am increasing vertex A, the other two sides are also increasing; making it an equilateral triangle
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	mudkip	0:00:01	19:52.2	0:00:01	awareness	2013-03-04 15:19:52.225 - swampert -> [fully erased the chat message]
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	swampert	0:00:19	20:28.5	0:00:19	chat	2013-03-04 15:20:28.469 - swampert -> only of the outer triangle 
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	swampert	0:00:02	20:39.0	0:00:02	chat	2013-03-04 15:20:38.963 - swampert -> let me try
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	swampert	0:00:08	20:47.4		Geogebra:Triangles	2013-03-04 15:20:47.413 - mudkip -> updated Point A
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	mudkip	0:00:00	20:48.1		Geogebra:Triangles	2013-03-04 15:20:48.119 - mudkip -> tool changed to Move Graphics View
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	mudkip	0:00:03	20:52.0		Geogebra:Triangles	2013-03-04 15:20:51.992 - swampert -> tool changed to Move
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	swampert	0:00:37	21:29.1		Geogebra:Triangles	2013-03-04 15:21:29.126 - swampert -> updated Point B
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	swampert	0:00:38	22:08.9	0:00:38	chat	2013-03-04 15:22:08.891 - swampert -> the same thing that happened when you moved point a happened when i moved point b
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	swampert	0:00:00	22:11.0	0:00:00	awareness	2013-03-04 15:22:11.011 - swampert -> [fully erased the chat message]
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	swampert	0:00:16	22:28.0	0:00:16	chat	2013-03-04 15:22:28.044 - swampert -> all sides increased thus making it stay equilateral
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	swampert	0:00:16	22:45.6	0:00:16	chat	2013-03-04 15:22:45.563 - mudkip -> that is beacuse both letters are blue and that means they are movable 
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	mudkip	0:0:-16	22:29.2		Geogebra:Triangles	2013-03-04 15:22:29.180 - swampert -> tool changed to Move Graphics View
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	swampert	0:00:13	22:53.7	0:00:13	chat	2013-03-04 15:22:53.700 - swampert -> you want to try vertex c or should i ?
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	swampert	0:00:23	23:09.1	0:00:23	chat	2013-03-04 15:23:09.076 - mudkip -> which means that no matter how you drag the triangle will, it will always remain equilateral
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	mudkip	0:00:06	23:07.4	0:00:06	chat	2013-03-04 15:23:07.355 - swampert -> if they are dark blue they are free
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	swampert	swampert	0:00:02	23:18.5	0:00:02	chat	2013-03-04 15:23:18.532 - swampert -> yes
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_3	CID:1362076182755	mudkip	swampert	0:00:01	23:20.0		Geogebra:Triangles	2013-03-04 15:23:20.043 - mudkip -> tool changed to Move
