Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Katy Bird86.09	Joyful13	0:00:05	17:30.9		system	2013-03-13 13:17:30.912 - Katy Bird86.09 -> joins the room
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Katy Bird86.09	0:00:01	18:22.9	0:00:01	chat	2013-03-13 13:18:22.910 - Joyful13 -> hahahahahahahaha
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Katy Bird86.09	Joyful13	0:00:02	18:30.0	0:00:02	chat	2013-03-13 13:18:30.031 - Katy Bird86.09 -> Heyyyyyyy
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Katy Bird86.09	0:00:03	18:44.5	0:00:03	chat	2013-03-13 13:18:44.530 - Joyful13 -> initializing tabs
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:20	19:04.9		Geogebra:section 5	2013-03-13 13:19:04.925 - Joyful13 -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:26	19:31.1		Geogebra:section 5	2013-03-13 13:19:31.078 - Joyful13 -> tool changed to Move Graphics View
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:01	19:32.3		Geogebra:section 5	2013-03-13 13:19:32.338 - Joyful13 -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:02	19:35.2		Geogebra:section 5	2013-03-13 13:19:35.161 - Joyful13 -> tool changed to Move Graphics View
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:00	19:35.7		Geogebra:section 5	2013-03-13 13:19:35.714 - Joyful13 -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:07	19:43.7		Geogebra:section 5	2013-03-13 13:19:43.658 - Joyful13 -> tool changed to Move Graphics View
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:00	19:43.8		Geogebra:section 5	2013-03-13 13:19:43.850 - Joyful13 -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:13	19:57.7		Geogebra:section 5	2013-03-13 13:19:57.667 - Joyful13 -> tool changed to Move Graphics View
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:00	19:57.8		Geogebra:section 5	2013-03-13 13:19:57.845 - Joyful13 -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	donna	Joyful13	0:00:01	19:59.8		system	2013-03-13 13:19:59.804 - donna -> joins the room
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	donna	0:00:16	20:16.4		Geogebra:section 5	2013-03-13 13:20:16.362 - Joyful13 -> tool changed to Move Graphics View
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:00	20:16.5		Geogebra:section 5	2013-03-13 13:20:16.529 - Joyful13 -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:08	20:24.8		Geogebra:section 5	2013-03-13 13:20:24.779 - Joyful13 -> tool changed to Move Graphics View
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:05	20:30.2		Geogebra:section 5	2013-03-13 13:20:30.154 - Joyful13 -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	IpomoEaZ	Joyful13	0:00:06	20:36.7		system	2013-03-13 13:20:36.726 - IpomoEaZ -> joins the room
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	IpomoEaZ	0:00:53	21:30.2		Geogebra:section 5	2013-03-13 13:21:30.200 - Joyful13 -> tool changed to Move Graphics View
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Joyful13	0:00:05	21:38.3	0:00:05	chat	2013-03-13 13:21:38.259 - Joyful13 -> hehehehe
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Katy Bird86.09	Joyful13	0:0:-4	21:33.9		Geogebra:section 5	2013-03-13 13:21:33.875 - Katy Bird86.09 -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	donna	Katy Bird86.09	0:00:03	21:37.5		system	2013-03-13 13:21:37.462 - donna -> Now viewing tab Summary
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Katy Bird86.09	donna	0:00:01	21:39.0		Geogebra:section 5	2013-03-13 13:21:38.954 - Katy Bird86.09 -> tool changed to Move Graphics View
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	Katy Bird86.09	0:00:01	21:40.5		Geogebra:section 5	2013-03-13 13:21:40.535 - Joyful13 -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	IpomoEaZ	Joyful13	0:00:06	21:48.9	0:00:06	chat	2013-03-13 13:21:48.855 - IpomoEaZ -> Wait for Tomas
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	donna	IpomoEaZ	0:0:-6	21:42.8		Geogebra:Summary	2013-03-13 13:21:42.799 - donna -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	donna	donna	0:00:02	21:45.7		system	2013-03-13 13:21:45.706 - donna -> Now viewing tab section 5
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	donna	0:00:10	22:07.4	0:00:10	chat	2013-03-13 13:22:07.388 - Joyful13 -> doesnt look like hes on the right website
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	donna	Joyful13	0:00:10	22:31.2	0:00:10	chat	2013-03-13 13:22:31.178 - donna -> whos person 1 2 3 4 5
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	Joyful13	donna	0:00:09	22:40.6		Geogebra:section 5	2013-03-13 13:22:40.592 - Joyful13 -> tool changed to Move Graphics View
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_2	CID:1362920850216	donna	Joyful13	0:00:02	22:42.8		Geogebra:Summary	2013-03-13 13:22:42.837 - donna -> tool changed to Move Graphics View
