Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	chubby penguin	Oy!Pikachu	0:00:08	12:25.3		system	2013-03-01 15:12:25.277 - chubby penguin -> joins the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	chubby penguin	chubby penguin	0:00:00	12:30.6	0:00:00	chat	2013-03-01 15:12:30.648 - chubby penguin -> hi
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	Oy!Magikarp	chubby penguin	0:00:08	12:39.0		system	2013-03-01 15:12:39.003 - Oy!Magikarp -> joins the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	chubby penguin	Oy!Magikarp	0:00:03	12:45.9	0:00:03	chat	2013-03-01 15:12:45.943 - chubby penguin -> start
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	Oy!Magikarp	chubby penguin	0:00:00	12:46.1		system	2013-03-01 15:12:46.133 - Oy!Magikarp -> leaves the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	Oy!Pikachu	Oy!Magikarp	0:00:01	12:53.4	0:00:01	chat	2013-03-01 15:12:53.429 - Oy!Pikachu -> hey 
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	chubby penguin	Oy!Pikachu	0:00:06	13:00.3		Geogebra:Triangles	2013-03-01 15:13:00.301 - chubby penguin -> tool changed to Move
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	Oy!Magikarp	chubby penguin	0:00:08	13:08.9		system	2013-03-01 15:13:08.924 - Oy!Magikarp -> joins the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	chubby penguin	Oy!Magikarp	0:00:18	13:27.4		Geogebra:Triangles	2013-03-01 15:13:27.358 - chubby penguin -> updated Point B
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	chubby penguin	chubby penguin	0:00:02	13:30.0		Geogebra:Triangles	2013-03-01 15:13:29.981 - chubby penguin -> updated Point B
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_1	CID:1362076175707	Oy!Pikachu	chubby penguin	0:00:10	13:42.6	0:00:10	chat	2013-03-01 15:13:42.610 - Oy!Pikachu -> tell us chub chub what is happening?
