Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	cornflakes	fruitloops	0:00:40	11:50.1		system	2013-03-01 15:11:50.145 - cornflakes -> joins the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	fruitloops	cornflakes	0:00:01	11:53.8	0:00:01	chat	2013-03-01 15:11:53.840 - fruitloops -> heyyyyyyyyyyyyyy
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	cornflakes	fruitloops	0:00:01	13:06.0	0:00:01	chat	2013-03-01 15:13:05.975 - cornflakes -> hi
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	cornflakes	cornflakes	0:00:20	13:26.3		Geogebra:Triangles	2013-03-01 15:13:26.338 - cornflakes -> tool changed to Move
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	cornflakes	cornflakes	0:00:02	13:30.9	0:00:02	chat	2013-03-01 15:13:30.919 - cornflakes -> i will go first
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	cornflakes	cornflakes	0:00:38	14:09.7		Geogebra:Triangles	2013-03-01 15:14:09.652 - cornflakes -> updated Point A
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	cornflakes	cornflakes	0:00:11	14:21.0		Geogebra:Triangles	2013-03-01 15:14:20.963 - cornflakes -> updated Point D
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	cornflakes	cornflakes	0:00:01	14:22.3		Geogebra:Triangles	2013-03-01 15:14:22.332 - cornflakes -> tool changed to Move Graphics View
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	fruitloops	cornflakes	0:02:41	17:03.5		Geogebra:Triangles	2013-03-01 15:17:03.526 - fruitloops -> tool changed to Move
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	fruitloops	fruitloops	0:00:00	17:22.2	0:00:00	Geogebra:Triangles	2013-03-01 15:17:22.193 - fruitloops -> updated Point A
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	cheerios	fruitloops	0:00:03	17:25.3		system	2013-03-01 15:17:25.283 - cheerios -> joins the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	fruitloops	cheerios	0:00:15	17:40.8		Geogebra:Triangles	2013-03-01 15:17:40.782 - fruitloops -> updated Point D
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	fruitloops	fruitloops	0:00:02	17:43.6		Geogebra:Triangles	2013-03-01 15:17:43.596 - fruitloops -> updated Point D
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	fruitloops	fruitloops	0:00:02	17:46.2		Geogebra:Triangles	2013-03-01 15:17:46.171 - fruitloops -> tool changed to Move Graphics View
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_2	CID:1362076179425	fruitloops	fruitloops	0:00:19	18:09.6	0:00:19	chat	2013-03-01 15:18:09.638 - fruitloops -> when i move vertex a the whole triangle of abc moves
