Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	marco is boss	marco is boss	0:00:22	18:23.7	0:00:22	chat	2013-03-13 13:18:23.709 - marco is boss -> im the first one in the chat u guys are booty
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	JalaniKnowsMath	marco is boss	0:0:-5	18:18.5		system	2013-03-13 13:18:18.470 - JalaniKnowsMath -> joins the room
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	ThatRandomMark	JalaniKnowsMath	0:00:11	18:30.2		system	2013-03-13 13:18:30.247 - ThatRandomMark -> joins the room
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	JalaniKnowsMath	ThatRandomMark	0:00:11	18:47.5	0:00:11	chat	2013-03-13 13:18:47.504 - JalaniKnowsMath -> Initializing Tabs...
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	TooMuchMineCraftAli	JalaniKnowsMath	0:0:-3	18:44.3		system	2013-03-13 13:18:44.335 - TooMuchMineCraftAli -> joins the room
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	ThatRandomMark	TooMuchMineCraftAli	0:00:08	19:01.4	0:00:08	chat	2013-03-13 13:19:01.409 - ThatRandomMark -> initializing  tabs...
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	TooMuchMineCraftAli	ThatRandomMark	0:00:00	19:14.3	0:00:00	chat	2013-03-13 13:19:14.321 - TooMuchMineCraftAli -> hi
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	TooMuchMineCraftAli	TooMuchMineCraftAli	0:00:04	19:39.6	0:00:04	chat	2013-03-13 13:19:39.556 - TooMuchMineCraftAli -> i didn do that
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	TooMuchMineCraftAli	TooMuchMineCraftAli	0:00:02	19:41.6		Geogebra:Topic 5	2013-03-13 13:19:41.609 - TooMuchMineCraftAli -> tool changed to Move
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	TooMuchMineCraftAli	TooMuchMineCraftAli	0:00:09	19:55.4	0:00:09	chat	2013-03-13 13:19:55.376 - TooMuchMineCraftAli -> I GOTZ CONTROL!!!
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	ThatRandomMark	TooMuchMineCraftAli	0:00:00	19:51.3	0:00:00	chat	2013-03-13 13:19:51.315 - ThatRandomMark -> Ok
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	ThatRandomMark	ThatRandomMark	0:00:01	20:14.6	0:00:01	awareness	2013-03-13 13:20:14.649 - ThatRandomMark -> [fully erased the chat message]
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	JalaniKnowsMath	ThatRandomMark	0:00:01	20:16.2	0:00:01	awareness	2013-03-13 13:20:16.231 - JalaniKnowsMath -> [fully erased the chat message]
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_4	CID:1362920857346	TooMuchMineCraftAli	JalaniKnowsMath	0:00:03	20:24.6	0:00:03	chat	2013-03-13 13:20:24.617 - TooMuchMineCraftAli -> ok, what to do?
