Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	andrew732	0:00:55	19:45.6		system	2013-03-16 21:19:45.628 - pigirl -> joins the room
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	pigirl	0:01:53	21:39.4		system	2013-03-16 21:21:39.427 - sigfig15 -> joins the room
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	sigfig15	0:00:08	21:47.9		system	2013-03-16 21:21:47.888 - chris2112 -> joins the room
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	chris2112	0:00:03	22:53.8	0:00:03	chat	2013-03-16 21:22:53.823 - pigirl -> may i go first?
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	pigirl	0:00:02	23:02.2	0:00:02	chat	2013-03-16 21:23:02.177 - andrew732 -> yes ma'am
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	andrew732	0:00:22	24:00.5	0:00:22	awareness	2013-03-16 21:24:00.489 - sigfig15 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	sigfig15	0:00:00	24:14.7	0:00:00	awareness	2013-03-16 21:24:14.690 - sigfig15 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	sigfig15	0:00:08	24:24.3	0:00:08	chat	2013-03-16 21:24:24.332 - sigfig15 -> what are you waiting for?
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	sigfig15	0:00:04	24:33.7	0:00:04	chat	2013-03-16 21:24:33.741 - pigirl -> a yes from my teammates
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	pigirl	0:00:01	24:39.3	0:00:01	chat	2013-03-16 21:24:39.284 - sigfig15 -> yes
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	sigfig15	0:00:00	24:39.1		Geogebra:Triangles	2013-03-16 21:24:39.146 - pigirl -> tool changed to Move
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	pigirl	0:00:16	24:55.6		Geogebra:Triangles	2013-03-16 21:24:55.575 - pigirl -> updated Point A
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	pigirl	0:00:09	25:05.5	0:00:09	chat	2013-03-16 21:25:05.478 - sigfig15 -> D E anf F are midpoints
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	sigfig15	0:00:24	25:22.1	0:00:24	chat	2013-03-16 21:25:22.066 - pigirl -> it looks like moving A moves triangle ABC about B and can also change its magnitude
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	pigirl	0:00:05	25:18.4	0:00:05	chat	2013-03-16 21:25:18.366 - sigfig15 -> D is a weird color
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	sigfig15	0:00:12	25:48.9	0:00:12	chat	2013-03-16 21:25:48.897 - sigfig15 -> oh DEandF are just points on the lines
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	sigfig15	0:0:-3	25:45.0		Geogebra:Triangles	2013-03-16 21:25:44.982 - pigirl -> updated Point D
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	pigirl	0:00:48	26:36.5	0:00:48	chat	2013-03-16 21:26:36.523 - pigirl -> D moves along AC to change the orientation and magnitude of DEF with D remaining a point on AC
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	pigirl	0:00:00	25:50.0	0:00:00	awareness	2013-03-16 21:25:50.036 - andrew732 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	andrew732	0:00:15	26:15.4	0:00:15	chat	2013-03-16 21:26:15.418 - chris2112 -> Based on the colors, D looks like it was made with the point tool and E and F look dependent on D
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	chris2112	0:00:00	26:06.5	0:00:00	awareness	2013-03-16 21:26:06.474 - andrew732 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	andrew732	0:01:05	27:13.2	0:01:05	chat	2013-03-16 21:27:13.203 - andrew732 -> As you move D, D F and E are all equidistant to their surrounding points
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	andrew732	0:00:01	26:26.1	0:00:01	chat	2013-03-16 21:26:26.061 - sigfig15 -> yeah
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	sigfig15	0:00:04	26:39.0	0:00:04	chat	2013-03-16 21:26:38.953 - sigfig15 -> C is dependant on A and B
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	sigfig15	0:00:00	26:38.8		Geogebra:Triangles	2013-03-16 21:26:38.810 - pigirl -> tool changed to Move Graphics View
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	pigirl	0:00:08	27:31.7	0:00:08	awareness	2013-03-16 21:27:31.660 - chris2112 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	chris2112	0:00:00	27:34.5	0:00:00	awareness	2013-03-16 21:27:34.465 - chris2112 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	chris2112	0:00:01	27:37.0	0:00:01	awareness	2013-03-16 21:27:37.026 - chris2112 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	chris2112	0:00:01	27:39.3	0:00:01	chat	2013-03-16 21:27:39.309 - sigfig15 -> yeah
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	sigfig15	0:00:02	27:40.0	0:00:02	awareness	2013-03-16 21:27:40.002 - chris2112 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	chris2112	0:00:13	27:53.2	0:00:13	chat	2013-03-16 21:27:53.152 - sigfig15 -> I think C is the intersection of AC and BC.
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	sigfig15	0:00:11	28:10.1	0:00:11	chat	2013-03-16 21:28:10.139 - chris2112 -> I'll go now, as long as everyones ok with that.
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	chris2112	0:00:00	28:14.1	0:00:00	chat	2013-03-16 21:28:14.112 - pigirl -> ok
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	pigirl	0:00:00	28:16.2	0:00:00	chat	2013-03-16 21:28:16.235 - andrew732 -> ok
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	andrew732	0:00:00	28:16.3		Geogebra:Triangles	2013-03-16 21:28:16.325 - chris2112 -> tool changed to Move
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	chris2112	0:00:07	28:23.5		Geogebra:Triangles	2013-03-16 21:28:23.463 - chris2112 -> updated Point A
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	chris2112	0:00:09	28:32.6		Geogebra:Triangles	2013-03-16 21:28:32.556 - chris2112 -> updated Point D
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	chris2112	0:00:08	28:41.2		Geogebra:Triangles	2013-03-16 21:28:41.195 - chris2112 -> updated Point D
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	chris2112	0:00:09	28:52.3	0:00:09	chat	2013-03-16 21:28:52.285 - sigfig15 -> are the 2 main triangles equilateral?
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	sigfig15	0:0:-8	28:43.6		Geogebra:Triangles	2013-03-16 21:28:43.553 - chris2112 -> tool changed to Move Graphics View
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	pigirl	chris2112	0:00:17	29:02.6	0:00:17	chat	2013-03-16 21:29:02.615 - pigirl -> E moves along AB and F moves along BC as C moves along AC
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	pigirl	0:00:03	29:03.0	0:00:03	chat	2013-03-16 21:29:03.018 - andrew732 -> i believe so
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	chris2112	andrew732	0:00:04	29:29.0	0:00:04	chat	2013-03-16 21:29:28.976 - chris2112 -> Ok who wants to go next?
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	chris2112	0:00:01	29:32.6	0:00:01	chat	2013-03-16 21:29:32.559 - andrew732 -> i will
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	andrew732	0:00:02	29:34.7		Geogebra:Triangles	2013-03-16 21:29:34.708 - andrew732 -> tool changed to Move
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	andrew732	0:00:08	29:42.8		Geogebra:Triangles	2013-03-16 21:29:42.767 - andrew732 -> updated Point A
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	andrew732	0:00:07	29:50.4		Geogebra:Triangles	2013-03-16 21:29:50.365 - andrew732 -> updated Point A
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	andrew732	0:00:09	30:00.0		Geogebra:Triangles	2013-03-16 21:30:00.020 - andrew732 -> updated Point D
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	andrew732	andrew732	0:00:03	30:03.0		Geogebra:Triangles	2013-03-16 21:30:03.031 - andrew732 -> tool changed to Move Graphics View
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	andrew732	0:00:01	30:15.8	0:00:01	chat	2013-03-16 21:30:15.809 - sigfig15 -> ill go
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	sigfig15	0:00:02	30:18.0		Geogebra:Triangles	2013-03-16 21:30:17.983 - sigfig15 -> tool changed to Move
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	sigfig15	0:00:27	30:45.8		Geogebra:Triangles	2013-03-16 21:30:45.752 - sigfig15 -> updated Point A
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_3	CID:1363017830244	sigfig15	sigfig15	0:00:05	30:51.4		Geogebra:Triangles	2013-03-16 21:30:51.417 - sigfig15 -> updated Point A
