Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	mathminion1	mathminion1	0:00:10	01:39.5		system	2013-03-17 09:01:39.525 - mathminion1 -> leaves the room
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	colleen_mates	mathminion1	34:27:48	29:28.3		system	2013-03-18 19:29:28.315 - colleen_mates -> joins the room
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	johnmvano	colleen_mates	0:12:32	42:00.9		system	2013-03-18 19:42:00.851 - johnmvano -> joins the room
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	dboy18	johnmvano	0:00:08	42:09.0		system	2013-03-18 19:42:09.031 - dboy18 -> joins the room
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	lgold0416	dboy18	0:06:33	48:42.9		system	2013-03-18 19:48:42.912 - lgold0416 -> joins the room
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	colleen_mates	lgold0416	0:00:22	49:12.3	0:00:22	chat	2013-03-18 19:49:12.290 - colleen_mates -> Thanks everyone for re-scheduling for me.
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	dboy18	colleen_mates	0:00:04	49:00.4	0:00:04	awareness	2013-03-18 19:49:00.440 - dboy18 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	lgold0416	dboy18	0:00:14	49:23.8	0:00:14	awareness	2013-03-18 19:49:23.766 - lgold0416 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	dboy18	lgold0416	0:00:16	49:32.4	0:00:16	chat	2013-03-18 19:49:32.359 - dboy18 -> no problem :) so shall we begin?
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	lgold0416	dboy18	0:00:04	49:29.0	0:00:04	chat	2013-03-18 19:49:28.964 - lgold0416 -> No problem
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	colleen_mates	lgold0416	0:00:03	49:46.5	0:00:03	chat	2013-03-18 19:49:46.543 - colleen_mates -> Let's go! :D
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	colleen_mates	colleen_mates	0:00:07	49:54.0		Geogebra:Triangles	2013-03-18 19:49:54.008 - colleen_mates -> tool changed to Move
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	lgold0416	colleen_mates	0:00:02	49:57.1	0:00:02	chat	2013-03-18 19:49:57.066 - lgold0416 -> be my guest
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	colleen_mates	lgold0416	0:00:09	50:11.0	0:00:09	chat	2013-03-18 19:50:11.006 - colleen_mates -> I'll begin by dragging vertex A and then we can discuss what happens.
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	colleen_mates	colleen_mates	0:00:19	50:30.2		Geogebra:Triangles	2013-03-18 19:50:30.181 - colleen_mates -> updated Point A
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	dboy18	colleen_mates	0:00:56	51:28.8	0:00:56	chat	2013-03-18 19:51:28.797 - dboy18 -> so when Triangle ABC is dragged by Point A, vertex B stays in place and just the side lengths and directions of segmens change but it stays equilateral
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_2	CID:1363017826690	lgold0416	dboy18	0:00:02	50:37.3	0:00:02	awareness	2013-03-18 19:50:37.253 - lgold0416 -> [fully erased the chat message]
