Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	BigBird	BubbleTea	0:00:28	08:29.7		system	2013-03-01 15:08:29.695 - BigBird -> joins the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	nutellaluver17	BigBird	0:00:12	08:41.7		system	2013-03-01 15:08:41.714 - nutellaluver17 -> joins the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	nutellaluver17	0:00:14	08:56.0		system	2013-03-01 15:08:56.033 - CookieMonster -> joins the room
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	BubbleTea	CookieMonster	0:00:01	09:08.3	0:00:01	awareness	2013-03-01 15:09:08.273 - BubbleTea -> [fully erased the chat message]
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	BubbleTea	BubbleTea	0:00:02	09:12.2	0:00:02	chat	2013-03-01 15:09:12.154 - BubbleTea -> can we start now
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	BubbleTea	0:00:11	09:27.9	0:00:11	chat	2013-03-01 15:09:27.934 - CookieMonster -> yep who's going first>
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	BubbleTea	CookieMonster	0:00:01	10:01.3	0:00:01	chat	2013-03-01 15:10:01.307 - BubbleTea -> ME!
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	BubbleTea	BubbleTea	0:00:01	10:03.1		Geogebra:Triangles	2013-03-01 15:10:03.137 - BubbleTea -> tool changed to Move
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	BubbleTea	BubbleTea	0:00:11	10:15.1		Geogebra:Triangles	2013-03-01 15:10:15.079 - BubbleTea -> tool changed to Move Graphics View
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	BubbleTea	0:00:28	11:00.3	0:00:28	awareness	2013-03-01 15:11:00.289 - CookieMonster -> [fully erased the chat message]
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	BubbleTea	CookieMonster	0:00:12	10:56.3	0:00:12	chat	2013-03-01 15:10:56.307 - BubbleTea -> someone else take control im not sure what is going on 
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	BubbleTea	0:00:03	11:04.1	0:00:03	chat	2013-03-01 15:11:04.147 - CookieMonster -> okay i'll try
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	CookieMonster	0:00:03	11:07.2		Geogebra:Triangles	2013-03-01 15:11:07.234 - CookieMonster -> tool changed to Move
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	BigBird	CookieMonster	0:00:03	11:24.8	0:00:03	awareness	2013-03-01 15:11:24.809 - BigBird -> [fully erased the chat message]
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	BigBird	0:00:07	11:32.7		Geogebra:Triangles	2013-03-01 15:11:32.709 - CookieMonster -> updated Point A
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	CookieMonster	0:00:17	11:50.6		Geogebra:Triangles	2013-03-01 15:11:50.581 - CookieMonster -> updated Point D
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	CookieMonster	0:00:03	11:53.8		Geogebra:Triangles	2013-03-01 15:11:53.809 - CookieMonster -> updated Point D
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	CookieMonster	0:00:04	11:58.2		Geogebra:Triangles	2013-03-01 15:11:58.218 - CookieMonster -> updated Point D
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	CookieMonster	0:00:04	12:02.9		Geogebra:Triangles	2013-03-01 15:12:02.936 - CookieMonster -> updated Point D
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	CookieMonster	0:00:05	12:08.8		Geogebra:Triangles	2013-03-01 15:12:08.800 - CookieMonster -> updated Text text1
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	BubbleTea	CookieMonster	0:00:11	12:21.6	0:00:11	chat	2013-03-01 15:12:21.617 - BubbleTea -> so are they equalaterial 
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	BubbleTea	0:00:01	12:22.8		Geogebra:Triangles	2013-03-01 15:12:22.771 - CookieMonster -> tool changed to Move Graphics View
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	CookieMonster	0:00:06	12:32.6	0:00:06	chat	2013-03-01 15:12:32.599 - CookieMonster -> yeah they're all equilateral
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	CookieMonster	0:00:39	13:11.9	0:00:39	awareness	2013-03-01 15:13:11.918 - CookieMonster -> [fully erased the chat message]
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	nutellaluver17	CookieMonster	0:00:02	12:37.9	0:00:02	chat	2013-03-01 15:12:37.869 - nutellaluver17 -> yeah, it is
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	nutellaluver17	0:00:13	12:51.4		Geogebra:Triangles	2013-03-01 15:12:51.370 - CookieMonster -> tool changed to Move
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	CookieMonster	0:00:03	12:54.9		Geogebra:Triangles	2013-03-01 15:12:54.882 - CookieMonster -> updated Point A
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	CookieMonster	CookieMonster	0:00:00	12:55.6		Geogebra:Triangles	2013-03-01 15:12:55.647 - CookieMonster -> tool changed to Move Graphics View
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_5	CID:1362076189852	BubbleTea	CookieMonster	0:00:08	13:32.1	0:00:08	chat	2013-03-01 15:13:32.150 - BubbleTea -> okay im going to make a new triangle
