Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	InfiniteWallflower	infinityand_beyond	0:00:32	08:34.6		system	2013-03-01 15:08:34.576 - InfiniteWallflower -> joins the room	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	Bartholomew	InfiniteWallflower	0:00:20	08:55.3		system	2013-03-01 15:08:55.326 - Bartholomew -> joins the room	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	TeaLeaf	Bartholomew	0:01:49	10:45.0		system	2013-03-01 15:10:44.961 - TeaLeaf -> joins the room	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	InfiniteWallflower	TeaLeaf	0:00:30	11:24.1	0:00:30	chat	2013-03-01 15:11:24.080 - InfiniteWallflower -> Okay lets start by taking turns dragging vertex A and vertex D	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	infinityand_beyond	InfiniteWallflower	0:00:05	11:13.2	0:00:05	awareness	2013-03-01 15:11:13.232 - infinityand_beyond -> [fully erased the chat message]	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	TeaLeaf	infinityand_beyond	0:00:01	11:11.9	0:00:01	chat	2013-03-01 15:11:11.934 - TeaLeaf -> control	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	TeaLeaf	TeaLeaf	0:00:02	11:14.4		Geogebra:Triangles	2013-03-01 15:11:14.370 - TeaLeaf -> tool changed to Move	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	TeaLeaf	TeaLeaf	0:00:12	11:26.7		Geogebra:Triangles	2013-03-01 15:11:26.729 - TeaLeaf -> updated Point A	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	InfiniteWallflower	TeaLeaf	0:00:22	11:57.1	0:00:22	chat	2013-03-01 15:11:57.095 - InfiniteWallflower -> Triangle DEF is restricted within the triangle ABC	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	TeaLeaf	InfiniteWallflower	0:0:-18	11:38.6		Geogebra:Triangles	2013-03-01 15:11:38.576 - TeaLeaf -> updated Point D	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	Bartholomew	TeaLeaf	0:00:09	11:51.7	0:00:09	chat	2013-03-01 15:11:51.689 - Bartholomew -> tea is dragging the triangle	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	TeaLeaf	Bartholomew	0:0:-7	11:44.4		Geogebra:Triangles	2013-03-01 15:11:44.423 - TeaLeaf -> updated Point D	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	TeaLeaf	TeaLeaf	0:00:23	12:08.2		Geogebra:Triangles	2013-03-01 15:12:08.204 - TeaLeaf -> updated Point D	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	TeaLeaf	TeaLeaf	0:00:03	12:12.1		Geogebra:Triangles	2013-03-01 15:12:12.092 - TeaLeaf -> tool changed to Move Graphics View	
Spring 2013 Lalor & Riccobono	Dynamic Geometry	Topic 05	Group_6	CID:1362076193275	TeaLeaf	TeaLeaf	0:00:17	12:37.4	0:00:17	chat	2013-03-01 15:12:37.354 - TeaLeaf -> and thirngle abc is restricted to where b is 	
